,描述,标题,链接
20,“纯真年代，经典发声”！《音乐大师课》重磅回归！作为一档音乐教育公益节目，《音乐大师课》一直践行音乐教育本质，力求在公益的基础上把最好的音乐带给孩子们和广大观众。《音乐大师课》自2015年开始已播出两季，韩磊、田震、林志炫、古巨基、杨钰莹、曹格、萨顶顶等音乐老师和几十位孩子的真情互动，深深打动了全国观众。《音乐大师课》注重孩子真实、自然的情感表达，教育孩子爱家庭、爱亲人、爱国家，获得了各方好评，已成为各地学校权威性“音乐课教材”。《人民日报》也一年内三次点赞节目：“音乐教育，弱化功利心，提高快乐感”。2016年7月29日，在北京人民大会堂万人礼堂，栏目与中国少年儿童基金会合共同举办“《音乐大师课》公益演唱会”，正式宣布“音乐大师课公益基金”成立。9月1日，由教育部与中央电视台合作的大型公益节目《开学第一课》中，李谷一携《音乐大师课》第二季学生宋亚轩、宋佳霖、曹慧晗共同献唱《我和我的祖国》。2017年4月，第三季节目即将播出。本季节目邀请朱军、谭维维、杨钰莹和李偲菘老师加入，坚持音乐教育内核，坚持教授孩子们传唱中国和世界的经典歌曲的主题，沿用开学典礼、主题授课、汇报演出、毕业典礼的形式，继续为您带来一场音乐盛宴，敬请关注！,音乐大师课,https://www.btime.com/btv/btvws_yydsk
21,《中国故事大会》第二季的故事取材来自各行各业，改革开放四十年以来，中国发生了翻天覆地的变化，人们的衣食住行、文化娱乐都离不开不同行业的发展，离不开时代的变迁。首期节目聚焦我国体育事业，聚焦冬奥会，以热血向上的态度开启全新一季的正能量。3月16日起每周五21:08，《中国故事大会》第二季与您相约北京卫视，这里有对时代更全面的解读视角、有更精彩丰富的动人故事、有更引人深思的深入讨论。讲述当代中国的人间百态，绘制出一幅国富民强、百姓乐享生活的现代版《清明上河图》，一起期待惊喜，一起成为时代见证者！,中国故事大会,https://www.btime.com/btv/btvws_zggsdh
22,由北京电视台、北京小家家文化传媒有限公司联合打造，北京卫视推出的大型京剧文化传承节目《传承中国》，由近百位京剧名家联合推荐，保驾护航，由明星名人组成的京剧传承使者队伍不断壮大，聚合社会之力唤起国粹京剧传承之心。国粹之美，美在其形，洒脱飘逸或典雅庄重；国粹之美，美在其神，气韵生动，意境幽远；《传承中国》要做的就是传递这份美，留住这份美，使京剧艺术代代相传。正如北京电视台总编辑王珏所说：“京剧之美不仅美在舞台上，京剧无处不美。它的文学、服饰、音乐等等无处不美，只要用心去学，用心去看，你会发现每个人都能在这里找到跟自己的审美有共鸣的东西。《传承中国》就是要用真诚奉上匠心制作，不负传承使命！”《传承中国》首次聚力了最强的京剧文化力量：由几十位京剧名家参与节目的前期研讨，为节目点赞，提出意见和建议。他们用毕生精力活成了京剧艺术本身，又倾注心血在节目形式、京剧选段等各个方面提出真知灼见，并在明星教学和后续传播中不遗余力。著名京剧表演艺术家尚慧敏老师表示：“这个节目不光是为了宣传咱京剧，能把京剧精华继承下来，是更有价值的。”著名京剧丑行表演艺术家、年已82岁高龄的寇春华老师表示：“《传承中国》这档节目既有观赏性，又有知识性和趣味性，对京剧传承是一次全新的尝试。”梅兰芳大师的弟子李玉芙老师则在现场分享了自己学戏的故事，学戏贵在重复，三十遍，四十遍的学，遍数多了，一辈子都忘不了。《传承中国》正是通过展现国粹京剧的源远流长与博大精深，将京剧艺术与大众精神文化生活结合起来，用最真实的方式呈现京剧学习的乐趣和挑战，由京剧名家真教、明星真学，在一教一学一演中，带观众感受最有趣的京剧学习之路，在演出中呈现出原汁原味的国粹京剧之美，打造文化类节目的3.0时代。节目中，王珮瑜担任“传承社”的老板，邀请明星朋友来到《传承中国》担任“明星班主”，学习京剧，助力京剧传承。王珮瑜在发布会表演了京剧老生片段，还现场用京剧念白演绎网络流行语“扎心了，老铁”，网友纷纷留言“最接地气的流行语碰上京剧都变得韵味十足”、“原来京剧还可以这样玩”。《传承中国》于3月4日起每周日晚21:18在北京卫视播出。期待这场京剧文化盛宴引爆2018，成为文化类节目新标杆。,传承中国,https://www.btime.com/btv/btvws_cczg
23,《我们结婚吧》是北京卫视第二季度周间黄金档推出的一档公益婚礼策划类圆梦节目。由明星联手顶级婚礼策划师，为主人公夫妻在48小时内打造一场无与伦比的奇迹婚礼，满足你对婚礼的所有想象。生活需要仪式感，仪式让我们能更加珍惜我们所拥有的，也能更坚定勇敢地再出发。播出时间：5月16日起每周三21:18。,我们结婚吧,https://www.btime.com/btv/btvws_marry
24,《幸福的味道》是北京卫视推出的国内首档健康美食栏目。主持人栗坤、“急诊医生”王成钢、“厨神”刘一帆共同组成高颜值“美食梦之队”、经营一家梦幻的“幸福餐厅”。每周节目将邀请一位神秘明星嘉宾光临餐厅，名为点餐实为踢馆，在吃饭的前提下提出刁钻古怪，难以实现的健康难题。播出时间：每周日21:18,幸福的味道,https://www.btime.com/btv/btvws_xfdwd
25,中国职业格斗黄金联赛《勇士的崛起》是勇士荣耀联盟旗下中外俱乐部精英级联赛，旨在发掘培养中国格斗新星的全新赛事！每周四23:35,勇士的崛起,https://www.btime.com/btv/btvws_ysdjq
26,《时光缘》首次将独一无二的“时空穿越”与震撼人心的素人故事相结合，打造史无前例的现象级节目——用时间的维度、技术的力度，传达时光真情的温度。播出时间：每周一21:08,时光缘,https://www.btime.com/btv/btvws_sgy
27,由刘嘉玲发起并全程监制的国内首档成长励志真人纪实节目《长大成人》，聚焦成长话题，召集了七位来自全国各地的18岁少年，以攀登珠穆朗玛峰7028米为目标，克服重重考验完成成人礼。播出时间：每周三22:08,长大成人,https://www.btime.com/btv/btvws_zdcr
28,集脱口秀、相声、吐槽等元素为一体的开放式评论类节目，节目前半段采用“群口吐槽脱口秀”的新形式，每期节目邀请两位当红明星嘉宾，毫不留情地当面犀利吐槽，后半段则对生活中各种现象进行点评，爆点不断。播出时间：每周二晚21:08,苗阜秀,https://www.btime.com/btv/btvws_mfx
29,北京卫视联合能量传播制作的国内首档传统文化展示真人秀，节目由陈道明、朱丹、范明、华少担任观察员，由林羽等人成青年团成员。播出时间：每周日晚21:08,传承者,https://www.btime.com/btv/btvws_ccz
30,,熊猫奇缘,https://www.btime.com/btv/btvws_xmqy
31,由北京卫视和英翼传媒联合出品的中国首档星素合作科技创新圆梦秀《机会来了》将在北京卫视首播。节目试图通过梦想精灵联结造梦人、梦想使者和梦想人三位主人公，共同去完成一项既有创新又有人文关怀的科技产品，挑战不可能完成的任务，实现“共同梦想”。《机会来了》总导演晁若闻表示，“《机会来了》是一个充满了对未来期许的节目，科技改变生活是大方向，在这样的大背景下，我们希望观众看完后充满着对未来生活的憧憬，从而珍惜眼前，好好的生活。”所以这不是一个以骗取观众眼泪和同情为目的的节目。播出时间：每周四晚21:08,机会来了,https://www.btime.com/btv/btvws_jhll
32,《哎呦，你真美》是北京卫视全新推出的一档时尚生活服务节目，为每一位追求美丽、梦想和生命中所爱的普通人完成心中最质朴的愿望。节目中，国内顶尖明星时尚造型团队将“空降”到12个有美丽诉求的城市家庭，通过最前沿的时尚造型手段，贴身入户改造，助力普通人华丽变身，完成美丽梦想。节目用“美妆+情感”的方式讲述一个个美丽故事的同时，提供引领时尚潮流的美妆技巧和穿衣搭配方法，并传递一种时尚的生活态度。节目改变的不仅仅是容貌，更是每个人眼睛里散发出的自信和光芒，感悟生活的美丽和芬芳，以及找到内心的归属感的温暖正能量。播出时间：1月10日起每周二晚21:18,哎呦你真美,https://www.btime.com/btv/btvws_aynzm
33,国内首档音乐喜剧综艺秀《厉害了，我的歌》，由北京卫视金牌综艺团队倾情打造，总导演孟梦现场开宗明义，明确这档节目以“喜剧+唱歌”为核心元素，一定是“年轻人喜欢的”的语态、视听和互动，是时尚的综艺。,厉害了我的歌,https://www.btime.com/btv/btvws_lhlwdg
34,青丝到白发，韶华老去人依旧，愿陪你走遍人生的春夏秋冬。5月5日（周五）晚21:08北京卫视《我想见到你》“温暖能量团”五位嘉宾苏有朋、景甜、茅子俊、李宏毅、马闻远即刻启程，想你所想，见你所见。,我想见到你,https://www.btime.com/btv/btvws_wxjdn
35,北京卫视推出首档家庭健康运动综艺竞技类节目《小区运动会》，节目将打破误区，告诉您如何健康运动？栏目每期一个健康主题，将趣味和运动巧妙结合，通过健康专家的参与和大数据的分析让您的运动更加科学健康！还有知名大厨现场教您烹饪美味佳肴，让您看得过瘾、吃得舒心！跨越老中青年龄限制，带给您和家人新鲜活力视觉享受的同时打造健康+娱乐的全新体验。主持人：悦悦：2011年至今，担任北京卫视金牌栏目《养生堂》主持，直接飙升为最具影响力最高收视率的健康养生节目。悦悦因主持该节目获封“十大新锐华语风采主持”。特别是近年来参加的各类生活服务类节目的录制，深受观众喜爱。嘉宾：陈印泉相声演员牛应林首都医科大学附属北京友谊医院消化内科副主任,小区运动会,https://www.btime.com/btv/btvws_xqydh
36,由北京卫视、阿里鱼、可以传媒联合制作的，以“星素同住”为切入口的生活体验类真人秀《生活相对论》9月16日晚22:00在北京卫视隆重首播。《生活相对论》选取性格迥异的明星到素人家中居住生活，在48小时里，自然展现各自不同的生活方式，在相对的生活理念中摩擦碰撞，探讨社会热门话题，解读“理想生活”的多种可能。第一期节目中，“高冷酷爸”郑钧与素人“全职奶爸”在带娃的方式上产生很大“碰撞”。郑钧不禁反思自己由于工作太忙，陪孩子的时间太少。《生活相对论》用星素结合的方式进行了一场有关生活的电视实验。邀请明星与素人共同度过48小时，全天候记录明星和素人的真实生活状态，力求最大程度的打破陌生个体之间的安全距离，冲破两者的心理拘束。在这场两天一夜的星素生活“较量”中，遵循生活本身的真实性，不设置任何剧本，将明星与素人一起拉回到最真实的生活状态之中，充分发酵双方因差异化的生活方式产生的强烈碰撞，引发对于理想生活的思考。通过一季8期节目，10个触及痛点的社会话题，《生活相对论》将明星与素人的多样生活呈现给观众。不难发现，耀眼星光环绕的背后，明星的生活也如常人一般平凡普通。《生活相对论》就像是一道关于理想生活的思考题，将每个人密切关注的社会话题排列开来，引发人们对于理想生活的思考与思辨。首期节目，“全职奶爸”李华民与“高冷酷爸”郑钧，一个辞掉工作，在家专心带娃，一个因身份要求，已经失去了大量与孩子相处的时间，成为了孩子口中的“冷酷爸爸”。两人对待生活的态度截然不同，与孩子的交流方式上更有差异。在节目中，两人面对镜头诚恳自然的交流，探讨关于自己生活中的点滴。看到这里，观众可能会反问自己“有多久没有给孩子做饭？有多久没跟孩子交谈？又有多久因工作问题没有回家？”然而，每一个问题都没有标准的答案，正如总导演廖珂所说：“《生活相对论》是平静的也是直抵人心的，是对人生、社会现象的一种思辨和思考，我们想做一点有亮光的东西，以年轻人的活法，传递有价值有意义的事情，给行业带来一些清新的气息。”作为一档为天猫双11预热的定制综艺，节目开创多种台网联动的新玩法，在节目内容中植入“商品即内容，内容即商品”的消费观念，以及摇摇摇边看边聊、互动站队选择生活态度、输入互动答案抢密令红包等多种创新性互动玩法。阿里鱼希望将《生活相对论》打造成天猫双11超级IP之下的另外一个双11大IP。全职奶爸为孩子放弃工作是否值得？躲避人群的荒野独居生活可以持续多久？极致的极简生活是否能够接受？人生究竟选择冒险还是选择稳稳的幸福？9月16日晚22:00北京卫视《生活相对论》将为观众带来有关理想生活的多种解读。,生活相对论,https://www.btime.com/btv/btvws_shxdl
