职位名称,招聘部门,薪资,地区,工作经验,学历,工作性质,职位诱惑,职位描述,工作地址,公司信息
大数据产品经理,海尔集团cosmo上海招聘,18k-30k,/上海 /,经验3-5年 /,本科及以上 /,全职,"
发展空间大，福利好，领导nice","
1、负责数据产品设计及应用，对大数据创新的场景化产品进行商用化 
2、负责需求调研与分析、市场研究，进行需求抽象，驱动业务，进行产品创新与改进，提升用户体验。
3、定期与客户和用户保持接触，了解客户和用户对产品的反馈，实施客户/用户调研项目，收集、分析、提炼客户/用户需求，进行产品策划与创新
4、研究行业和主要竞争对手的动向，跟踪国内外相关新技术和新产品动态，为公司决策层及时提供前瞻性的建议和方案，具备优秀的沟通能力、洞察力、主动性、大局观

1、统招大学本科以上学历；，2年以上数据分析、数据产品等工作经验；参与或主导过大型数据体系或报表体系的搭建，有较好的业务抽象能力和产品设计能力；
2、熟练掌握SQL、数据分析理念及工具，了解hadoop，hbase，spark等数据处理或存储平台；
3、熟练使用Axure等产品设计工具，有数据/java开发经验者优先；
4、有出色的数据敏感性和分析能力，快速的业务理解及学习能力，具备需求调研、产品规划、产品设计、项目推进等产品能力；
5、优秀的项目管理能力，能把控整个项目的节奏，具有良好的沟通协调及时间控管技巧与能力；
6、逻辑思维能力强，有良好的沟通和团队协作能力，落地执行能力强；","上海 - 松江区 - 临港松江科技园双子楼
","海尔集团
物联网,电商
上市公司
2000人以上
http://www.haier.net/cn/"
数据产品经理,长城汽车数据技术部招聘,15k-20k,/北京 /,经验1-3年 /,本科及以上 /,全职,"
五险一金、午餐补助、双休","
岗位职责：
1、负责大数据产品的规划和产品生命周期管理；通过对源数据的分析发掘其业务价值并进行产品化输出；
2、通过跨团队合作沉淀出产品的优化功能，牵头制定产品计划、做好资源协调，推动对业务有利的新功能上线；
3、引导设计师完成产品的界面设计，协调开发人员进行开发工作，推动及协调产品的开发进度，把控产品质量；
4、通过对数据的挖掘和分析制定风控规则，对平台用户进行监控和风险分析，对风险管理进行决策建议；
5、收集用户反馈，分析用户行为及需求，对产品进行持续的优化和改进。

工作要求：
1、有良好沟通能力和语言表达能力，足够的责任心；
2、思维清晰敏捷，逻辑分析能力强，有结果导向能力；
3、出色的表达能力，文档写作能力和产品原型表现能力；
4、有丰富的互联网产品交互设计经验，对用户体验有较强的把握力,能够很好的规划和设计产品功能、使用流程与交互体验；
5、具有客户、竞品、渠道、市场、车联网大数据相关工作经验者优先；
6、工作经验3年以上。
7、统招本科以上，计算机科学与技术或软件工程相关专业、电子商务、统计学、信息管理、数学等相关专业","北京 - 丰台区 - 丰台体育馆 - 南四环总部基地
","长城汽车
不限
上市公司
2000人以上
www.gwm.com.cn"
大数据产品经理,成都交投智慧停车科技有限公司招聘,11k-20k,/成都 /,经验3-5年 /,本科及以上 /,全职,"
全额的五险一金，产品市场前景广阔","
岗位职责：
1、负责研究政府级、商业级数据需求，大数据相关产品规划设计；
2、负责产品前期需求调研、规划设计，原型设计工作；
3、负责产品线产出成品文档的撰写，包括产品需求文档、产品说明书、产品PPT等；
4、负责产品开发控制及项目管理，保证开发队伍顺利开展工作及跟踪程序，按时完成和发布；
5、负责提炼产品核心价值、产品卖点，参与制定营销、运营推广方案并提供产品支持，协助市场部门，参与各类产品发布、推广及各类市场活动。
任职要求：
1、全日制统招本科及以上学历，2-3年以上大数据产品工作经验；
2、收集用户需求，解析用户痛点，制定产品提案；
3、具备良好的客户沟通能力、文档组织能力，思路清晰敏捷，表达能力强；
4、熟练使用axure、visio等设计工具；
5、具备数据敏感性和数据分析能力，良好的逻辑分析能力；学习能力强，有责任感。","成都 - 金牛区 - - 四川省成都市金牛区二环路北二段靠近西南交通大学九里校区创新大厦
","成都交投智慧停车科技有限公司
移动互联网,人工智能
不需要融资
50-150人
https://www.lagou.com/gon..."
大数据产品经理,初灵信息招聘,8k-16k,/成都 /,经验1-3年 /,本科及以上 /,全职,"
周末双休,年终奖金,五险一金,弹性工作","
岗位职责：

1、负责公司通信大数据市场的技术推广工作,包括技术宣讲、技术交流、技术引导等；

2、关注大数据应用相关方向的前沿研究，并将相关成果快速产品化、商品化, 将创新推向用户 ；

3、负责在项目推进过程中的跨部门协调沟通工作，能够协调各资源以确保产品顺利发展 

4、负责公司产品交流PPT，产品资料和文档的编写

 
任职资格：

1、2-3年以上通信行业工作经验，通行工程，电子信息或计算机专业本科毕业；

2、熟悉大数据行业，特别是通信运营商在大数据领域的应用；

3、了解LTE/TD-SCDMA/CWDMA/CDMA2000/7号信令网络/lte／volte网络架构和业务流程及各个接口；

4、熟练应用OFFICE办公软件，有良好的文案编写能力；

5、具有优秀的学习能力、沟通表达能力、个人品质及扎实的工作作风；具有良好的团队合作精神和敬业精神； 

6、自我驱动力强；","成都 - 高新区 - 天府软件园D区6栋16楼
","初灵信息
移动互联网,数据服务
上市公司
500-2000人
http://www.cncr-it.com/"
网络金融总部--大数据产品...,申万宏源证券有限公司网络金融总部招聘,30k-60k,/上海 /,经验3-5年 /,硕士及以上 /,全职,"
国有企业","
岗位职责：
1）负责移动APP运营数据的分类汇总、分析研究，构建移动APP用户行为数据的数据挖掘、数据分析体系；
2）负责对零售业务数据进行整合、分析挖掘，对移动APP平台运营和零售客户交易理财数据进行模型分析，挖掘用户行为特征，为平台运营和产品发展策略提供指引；
3）负责侧重Level2的深度数据产品和特色指标生产，以及互联网数据运营体系搭建；
4）通过大数据统计和分析能够发现零售客户的痛点和热点问题， 利用数据挖掘/统计的理论和方法解决实际问题。
岗位要求：
1）本科（含）以上，数学、统计学、计算机等相关专业；
2）两年（含）以上大数据领域工作经验;
3）具备数据建模工作经验，掌握SAS/R/Python等语言工具，熟悉sql、MATLAB或R等数据挖掘工具和数据库管理，熟练运用数据分析技术（聚类分析、回归分析、决策树等）；
4）有Hadoop、Spark等分布式计算框架开发经验，熟练掌握机器学习和数据挖掘的常用算法，能够根据实际应用需求进行独立建模，算法调优及模型验证；
5）有数据管理，互联网运营，用户画像，证券投资数据产品等经验者优先，有金融行业网络金融领域或互联网公司相关工作经验者优先。","上海 - 徐汇区 - 长乐路989号世纪商贸大厦
","申万宏源证券有限公司
金融
上市公司
2000人以上"
数据产品经理-分析工具,字节跳动招聘,15k-30k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
六险一金，弹性工作，免费三餐，租房补贴","
职位职责：
1、负责数据分析平台产品设计，充分理解业务，收集和挖掘业务需求，搭建分析体系，推动需求产品化；
2、负责日常业务(如抖音、火山小视频、今日头条等)数据分析，对数据进行加工，挖掘数据指标间关联信息，并通过产品化形式反馈业务，指导业务决策；
3、负责产品后台逻辑设计和前端功能设计；
4、承担数据平台相关运营工作，建立用户反馈渠道，搜集和梳理用户反馈，及时调整产品策略，优化产品功能。

职位要求：
1、3年以上数据分析和产品设计经验，统计、数学、计算机相关专业优先；
2、熟练使用SQL及其他分析工具；
3、善于思考，优秀的逻辑思维能力和解决问题能力；
4、对数据敏感，工作积极主动，乐于面临挑战。","北京 - 海淀区 - 北三环西路43号中航广场1号楼（矮楼）
","字节跳动
文娱丨内容
C轮
2000人以上
http://www.bytedance.com"
数据产品经理,网易招聘,15k-30k,/北京 /,经验1-3年 /,硕士及以上 /,全职,"
核心岗位，六险一金","
 
1.整合数据资源，设计并建立易用性好、具备良好可扩展性的数据产品
2.建立数据评估体系，通过数据分析挖掘现有业务可优化空间，完成策略产品优化工作 
3.对数据目标负责，协调运营、产品、开发等跨部门资源，与项目团队共同达成数据目标。 
4.参与到整个需求调研、产品设计、文档编纂，开发跟进、功能测试、用户反馈、迭代优化环节，能独立负责项目推进，保证项目正常进行 
5.研究和完善用户增长相关的数据探索，寻找提升用户规模和留存的关键点并快速执行，驱动用户增长的持续化和规模化；
任职资格：
1.统计学、数学、经济学等相关专业，211本科以上学历，3年以上数据产品经验，有用户平台产品经验优先   
2.会使用sql及其他统计分析软件，如Excel，SPSS等 
3.良好的沟通表达,逻辑思维,团队协作 
4.对数据敏感，工作积极主动，乐于面临挑战 
5.良好的分析判断能力，擅长目标拆分及业务逻辑梳理，能够保持高效的执行力及工作节奏； 
6.拥有卓越的产品感觉和用户感觉，擅长从用户角度思考问题；","北京 - 海淀区 - 西北旺 - 网易大厦
","网易
电商
上市公司
2000人以上
http://hr.163.com/"
资深数据产品经理（流量+营销）,作业帮数据招聘,30k-45k,/北京 /,经验5-10年 /,本科及以上 /,全职,"
七险一金 免费三餐 不打卡扁平管理","
职责：
1、负责事业部级别的数据平台规划与产品方案设计，组织实施并对结果负责；
2、对业务敏感，抽象搭建指标及维度评价体系，监控业务各项数据指标，并对异常波动或可能存在的问题进行有效监控；
3、夯实底层基建，面向业务输出数据服务，不局限服务形式并对数据的一致性，准确性，可用性，易用性负责；
4、肩负驱动公司产品和运营体系数据化运营的整体思路及方法落地；

要求：
1、5年以上数据产品经理或分析师工作经验，至少3年以上数据产品相关经验，2年团队管理经验；
2、有较强的产品规划，较强的横向沟通组织能力，较强的主人翁意识；
3、有过营销/用户画像/流量产品/销售数据产品建设经验；","北京 - 海淀区 - 西二旗 - 开拓路1号汇苑开拓大厦A座4层
","作业帮
工具
D轮及以上
Coatue、高盛、春华资本、红杉中国、GGV纪源资本、襄禾资本、天图投资、NEA、泰合资本(D轮及以上)，H Capital、老虎基金、红杉、君联、GGV、襄禾(C轮)，GGV（纪源资本）(B轮)，作业帮独立分拆，引入由红杉、君联领投的A轮融资(A轮)
2000人以上
http://www.zybang.com"
数据产品经理,美团点评数据智能组招聘,30k-60k,/北京 /,经验5-10年 /,本科及以上 /,全职,"
发展空间大","
工作职责：

1.负责数据智能平台、信用平台产品，完成需求探索、产品规划、功能设计、持续迭代等工作；
2.调研行业内数据智能领域（大数据、AI）产品动态，并完成数据智能产品的竞品分析及业务规划；
3.通过产品化的方式解决数据、AI应用问题，深入了解各业务场景及角色用户需求，并将其固化抽象成产品解决方案。通过数据和AI 的能力产品化赋能业务；
4.与业务、算法、数据、产品、技术开发等团队密切合作，协同推进产品持续有效更迭。

任职要求：

1.本科学历以上。数学、统计、计算机、信息管理与信息系统等相关专业优先；
2.三年以上平台产品、数据产品经理经验，具有良好的计划把控能力、丰富的跨团队项目推动能力；
3.参与过平台产品、商业产品或数据产品的搭建，有较好的业务需求抽象能力和产品设计能力；
4.了解大数据、AI相关知识体系，有实际数据智能平台建设和运营经验者优先；
5.熟悉数据产品整体生命周期，包括需求分析，方案设计，项目管理等；
6.有良好的数据敏感度、较强的逻辑思维能力和洞察力。","北京 - 朝阳区 - 望京东路4号恒电大厦C座
","美团点评
消费生活
上市公司
2000人以上
http://www.meituan.com"
大数据产品经理（客户/用户...,金蝶大数据服务部招聘,15k-30k,/深圳 /,经验3-5年 /,本科及以上 /,全职,"
大平台发展机遇广福利待遇好团队氛围好","
职责描述：
1. 整体设计和规划客户/用户画像产品，挖掘基于画像产品的核心业务价值；
2. 主导客户/用户画像标签体系建设，设计和构建基于画像基础属性、交易属性、用户行为、服务数据等特征的画像服务；
3. 与产品线、业务线部门协作，支持360度洞察和分析客户/用户，将客户/用户运营策略产品化；
4. 主导并促进客户/用户画像在公司各业务领域的场景应用，持续提升业务价值。

任职要求：
1. 本科及以上学历，3年以上数据产品经验，用户画像数据产品相关经验优先；
2. 熟悉用户画像应用方向，如精准营销，差异化服务、用户增长运营体系，能挖掘用户画像的业务价值；
3. 精通PRD/原型交互图/流程图，能快速产出和高效落地；精通数据分析，能熟练使用SQL/Python等工具为佳；
4. 有强烈的owner心态、团队合作精神和开放性思维，能够独立负责大中型项目的跨部门协调。","深圳 - 南山区 - 科技园 - 科技园科技南十二路2号金蝶软件园
","金蝶
企业服务
上市公司
2000人以上
http://www.kingdee.com"
商业化数据产品经理,淘集集商业化招聘,20k-40k,/上海 /,经验3-5年 /,本科及以上 /,全职,"
福利待遇、发展前景、公司氛围","
工作职责：
1、负责商业化指标体系建设和完善，通过对业务的敏锐洞察和理解，构建合理的评价体系，衡量业务发展情况；
2、负责商业化BI产品的建设，独立完成产品调研、方案设计以及协调各方资源推动产品上线；
3、能根据实际业务分析需求，迅速搭建业务监控体系，挖掘流量、产品、策略方面的商业变现机会，驱动商业化业务发展；
4、及时关注业界内BI类产品以及数据可视化工具的动态， 提供更高效、更完善的BI产品支持分析决策。

任职要求：
1、计算机、统计学、数学、经济学等相关专业，扎实的机器学习或数据挖掘理论和技术基础，具有相关领域较深入的技术应用的经验和能力；
2、有BI产品建设经验，对用户体验敏感；
3、良好的沟通能力、团队合作精神、工作规划能力和主动意识；
4、良好的逻辑思维能力、业务解读能力和快速学习能力，能够独立领导完整的项目；
5、了解电商广告/搜索广告/信息流广告的业务逻辑。","上海 - 静安区 - 五牛控股大厦26楼
","淘集集
电商
B轮
500-2000人
http://www.taojiji.com/"
电商数据产品经理,华坤道威招聘,12k-24k,/杭州 /,经验3-5年 /,大专及以上 /,全职,"
五险一金,年终奖金,双休,大数据","
岗位职责：
1.     研究电商\数据服务产品应用的发展方向，参与制定产品发展策略；
2.     挖掘和把握用户对产品的各层次需求，并在各业务场景中进行应用，不断推出促进公司业务发展；
3.     负责产品的规划和设计，设计包括功能定位、框架设计和交互设计；
4.     协同研发团队，推动保证产品的研发上线和优化迭代，并确保产品的研发整体进度；
5.     对日常数据进行跟踪和研究，掌握平台运行状况，优化产品；
岗位要求
1.本科及以上学历；
2.2年以上产品相关经验，有电商产品或者SaaS产品相关经验优先先；
3.熟悉互联网产品实现流程，具备良好的用户体验意识，对交互设计有一定了解
4.具备优秀的沟通表达能力、团队协作能力，能承受住较大压力
5.逻辑思维能力强，具备良好的计划、文字表达能力
6.熟练使用Axure、MindManager等软件","杭州 - 西湖区 - 天目山路 - 天目山路294号杭钢冶金科技大厦7楼
","华坤道威
移动互联网,数据服务
不需要融资
150-500人
http://worken.cn"
波洞星球数据产品经理,腾讯招聘,24k-36k,/深圳 /,经验不限 /,本科及以上 /,全职,"
重点新业务","
岗位要求：
1、负责波洞星球二次元业务数据工作，负责业务数据体系建设
2、管理数据埋点上报需求，维护数据埋点信息，保障数据上报准确性
3、负责建立和完善业务数据报表体系，并提供相关数据支持
4、监测业务关键指标，通过数据分析发现问题，推动产品功能改善和运营效率提升；
5、定期输出数据报告，包括产品功能分析、用户增长研究、活动效果评估等，为产品迭代和运营策略提供数据决策支持
岗位职责：
1、熟悉数据建模知识、数据挖掘理论，熟练掌握数据分析体系架构、方法；
2、精通SQL等数据查询语言。至少熟练使用一门统计软件，如spss、python等，熟练操作excel、PPT；
3、具有较强的商业、数据和业务的敏感性，具备良好的逻辑分析能力，能够系统性的思考和分析问题，同时具有较好的分析总结能力和数据报告呈现能力； 
4、具备良好的沟通能力，能够进行跨团队的沟通协调。
5、本科以上学历，3年以上经验互联网产品数据分析经验；计算机、统计学、数学相关背景优先；研究生及以上学历优先。","深圳 - 南山区 - 科技园 - 万利达大厦
","腾讯
社交
上市公司
2000人以上
http://hr.tencent.com"
资深产品经理-数据方向,蓝色速度产品中心招聘,18k-25k,/深圳 /,经验3-5年 /,学历不限 /,全职,"
红杉资本投,B2C,餐饮界京东","
工作职责：
1、负责搭建核心外卖项目相关C端用户、B端生产及配送方向业务及行为数据统计与分析平台
2、负责数据仓库建设，指标体系梳理，BI平台引入，数据策略迭代等数据产品建设工作
3、负责对各产品线业务数据跟踪分析，制定优化方案并持续迭代
4、负责对接线上市场及运营、线下营运及配送团队，收集提炼需求，并推进落地实现
任职要求：
1、5年以上从业经验，3年以上数据产品及数据分析工作经验
2、深入理解O2O或电商业务，能从数据视角发现业务问题，实现业务深度数据化及价值化
3、产品基本功扎实，需求理解及逻辑思考能力优秀，极佳的项目管理能力
4、责任心、自驱力、抗压力强，沟通及表达能力优秀
5、有数据安全、风控业务经验者优先","深圳 - 福田区 - 车公庙 - 车公庙泰然工贸园212栋602
","蓝色速度
移动互联网,消费生活
A轮
50-150人
https://www.lagou.com/gon..."
